GO term,Day 0 TD,Day 2 TD,Day 5 TD,Day 12 TD,Day 0 ND,Day 2 ND,Day 5 ND,Day 12 ND
"GO:0071541 eukaryotic translation initiation factor 3 complex, eIF3m",,4.0,,,,,,
"GO:0071540 eukaryotic translation initiation factor 3 complex, eIF3e",,4.0,,,,,,
GO:0000159 protein phosphatase type 2A complex,,4.0,,,,,,
GO:0008287 protein serine/threonine phosphatase complex,,4.0,,,,,,
GO:0005753 mitochondrial proton-transporting ATP synthase complex,,3.0,,,,3.0,,
GO:0005967 mitochondrial pyruvate dehydrogenase complex,,3.0,,,,,,
GO:0005852 eukaryotic translation initiation factor 3 complex,,3.0,,,,,,
GO:0009316 3-isopropylmalate dehydratase complex,,3.0,,,,,,
GO:0000502 proteasome complex,,2.0,,,,,,
GO:0016282 eukaryotic 43S preinitiation complex,,2.0,,,,,,
GO:0033290 eukaryotic 48S preinitiation complex,,2.0,,,,,,
GO:0005762 mitochondrial large ribosomal subunit,,2.0,,,,,,
GO:0042651 thylakoid membrane,,1.0,,,,,,
GO:0005789 endoplasmic reticulum membrane,,1.0,,,,,,
GO:0005960 glycine cleavage complex,,1.0,,,,,,
GO:0019898 extrinsic component of membrane,,1.0,,,,,,
GO:0005740 mitochondrial envelope,,1.0,,,,,,
GO:0005654 nucleoplasm,,1.0,,,,,,
GO:0008537 proteasome activator complex,,1.0,,,,,,
GO:0030686 90S preribosome,,1.0,,,,,,
GO:0032040 small-subunit processome,,1.0,,,,,,
GO:0034455 t-UTP complex,,1.0,,,,,,
GO:0030870 Mre11 complex,,1.0,,,,,,
GO:0008076 voltage-gated potassium channel complex,,,2.0,,,,,
GO:0005871 kinesin complex,,,,1.0,,,,
GO:0000118 histone deacetylase complex,,,,,3.0,,,
GO:0000785 chromatin,,,,,3.0,,,
