ID,Alignments,SpecCounts,Unique,Coverage,Description,,,,,,,,,,,,
tr|A0A089VNZ5|A0A089VNZ5_THAWE,1,1,1,0.009,Photosystem,I,P700,chlorophyll,a,apoprotein,A1,OS=Thalassiosira,weissflogii,OX=1577725,GN=psaA,PE=3,SV=1
tr|A0A089VPD6|A0A089VPD6_THAWE,1,1,1,0.089,30S,ribosomal,protein,S12,,chloroplastic,OS=Thalassiosira,weissflogii,OX=1577725,GN=rps12,PE=3,SV=1,
tr|A0A089VP60|A0A089VP60_THAWE,1,1,1,0.027,30S,ribosomal,protein,S2,,chloroplastic,OS=Thalassiosira,weissflogii,OX=1577725,GN=rps2,PE=3,SV=1,
Thalassiosira_weissflogii_0203507610,1,1,0,0.001,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203632510,1,1,0,0.001,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203509200,1,1,0,0.002,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203232360,1,1,0,0.002,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203505338,1,1,0,0.001,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203474624,1,1,0,0.002,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203354880,1,1,0,0.002,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203355062,1,1,0,0.002,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203443900,1,1,0,0.002,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171388736,1,1,0,0.002,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171449642,1,1,0,0.002,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203382948,1,1,0,0.002,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203262626,1,1,0,0.002,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203172238,1,1,0,0.002,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203508018,1,1,0,0.002,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201861324,1,1,0,0.002,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171384764,1,1,0,0.002,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171358200,1,1,0,0.002,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203259712,1,1,0,0.002,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203536474,1,1,0,0.002,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201861618,1,1,0,0.002,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203596506,1,2,0,0.002,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201861462,1,1,0,0.002,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201829816,1,1,0,0.002,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171356188,1,2,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171419880,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203322750,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171446864,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171353656,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171447898,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171356464,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203476766,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203447024,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201862064,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203537588,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203352224,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203200728,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171368196,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203136636,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203629868,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203232282,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203201202,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203420966,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203537770,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203474920,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203231272,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171389254,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201771246,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171448868,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203320032,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203477544,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203568308,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203169780,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201771352,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203508522,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203213558,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203600290,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203433664,1,1,0,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171385522,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203259202,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201863604,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203383420,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171355862,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203230144,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171387134,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201832004,1,2,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203628772,1,2,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203136254,1,2,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203447046,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171417654,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203568880,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171449136,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201861348,1,2,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203506978,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201829588,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201861846,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171388008,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203323292,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171355572,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203260812,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203229680,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171420442,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203262482,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203323830,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203290872,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171451014,2,2,0,0.008,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201847290,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171358178,2,2,0,0.009,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203230984,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203199580,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201829230,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203570544,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171447376,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203260134,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201773232,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203169848,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203478692,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171354628,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203385684,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203598316,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203627768,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203506788,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203537704,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203167446,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201768586,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203172024,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203108674,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203385056,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203630424,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171426816,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203631262,1,1,0,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203381466,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201829064,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203290748,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201803216,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203507506,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203292756,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203383306,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171356326,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201860546,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203292462,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203324166,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203263480,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171357504,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203171698,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201804134,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203106946,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203198916,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203324454,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203628422,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203290908,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171448046,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203444222,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201831088,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203201350,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203509180,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203168326,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171354018,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201856150,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201802574,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203292968,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171418954,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203570404,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203570052,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203168390,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203537740,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203598410,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203352638,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201799620,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203319952,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171447152,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171416446,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203106990,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201769796,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171449940,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203597072,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203477998,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203568296,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203568708,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203139570,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203136778,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203352544,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203350848,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203104334,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171388288,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203228748,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171449202,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203229448,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203323502,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203168786,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171354066,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203293758,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203632146,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201832364,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201861670,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171385292,1,1,0,0.005,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203478970,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203506982,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203600714,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203230292,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171355982,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201808950,1,2,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203446730,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203106610,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171417868,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203536594,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203171402,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171416234,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203258762,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203631838,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203262580,1,2,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203382350,2,2,0,0.012,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203169342,1,2,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203567414,2,2,0,0.012,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203232176,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203383748,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203168638,1,2,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203596840,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203515948,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203507562,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201769128,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203288940,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203599932,1,2,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203107052,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203629354,1,2,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203566530,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203107338,2,2,0,0.013,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203350968,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203382596,1,2,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201832340,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203353174,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171394444,1,2,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203613400,1,2,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203445710,1,2,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201831128,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203105506,1,2,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203477758,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171384676,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203412884,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201831054,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203505188,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203539788,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203630000,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203537600,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203230080,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203628378,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203200190,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171449946,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171448164,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203172060,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201803024,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203535952,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203598256,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203289050,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203321468,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171386232,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171338952,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203570480,1,1,0,0.006,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203540310,1,1,0,0.008,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171447586,1,1,0,0.008,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171386662,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203263818,1,1,0,0.008,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201864586,1,1,0,0.008,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201799862,1,1,0,0.008,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203473440,1,1,0,0.008,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171353994,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203202418,1,1,0,0.008,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201829392,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201755936,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171375094,1,1,0,0.008,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203630704,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171356998,1,1,0,0.008,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203355158,1,1,0,0.008,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203539016,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171447912,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203381324,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203484710,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171333452,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171449328,1,1,0,0.008,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171384952,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203138428,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171419898,2,3,0,0.015,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203203024,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171354008,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171448216,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203414238,1,1,0,0.008,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203632248,1,1,0,0.008,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203445576,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203415600,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203300420,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203568750,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201835474,1,2,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203568566,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203544632,1,1,0,0.008,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203507364,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203172744,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171415840,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203088892,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171351036,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201830978,1,1,0,0.009,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203106544,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203383522,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203397446,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171417184,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203229034,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171448832,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203108752,1,1,0,0.009,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201861744,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201830138,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171447936,1,1,0,0.009,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201749504,1,1,0,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203630902,1,1,0,0.008,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203413852,1,1,0,0.008,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201844628,1,1,0,0.008,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201864750,1,1,0,0.009,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171376872,1,1,0,0.008,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203106084,1,1,0,0.008,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203447050,1,1,0,0.008,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203261644,1,1,0,0.008,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203384792,1,1,0,0.008,,,,,,,,,,,,,
