Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 330_T2_nodigest,Area 330_T2_nodigest,#Peptides,#Unique,#Spec 330_T2_nodigest,PTM,Avg. Mass,Description
52,290,Thalassiosira_weissflogii_0203135488,51.42,8,8,1.53E7,12,11,13,Oxidation (M); Oxidation(KPRY),50170,Thalassiosira_weissflogii_0203135488
52,289,Thalassiosira_weissflogii_0203608338,51.42,17,17,1.53E7,12,11,13,Oxidation (M); Oxidation(KPRY),24708,Thalassiosira_weissflogii_0203608338
43,80,Thalassiosira_weissflogii_0203204228,50.75,34,34,4.94E7,20,15,30,Oxidation (M); Pyro-glu from Q,21092,Thalassiosira_weissflogii_0203204228
33,240,Thalassiosira_weissflogii_0201848920,50.69,24,24,7.9E5,13,2,26,,13946,Thalassiosira_weissflogii_0201848920
56,77,Thalassiosira_weissflogii_0171446710,50.64,11,11,1.96E7,20,20,29,,125332,Thalassiosira_weissflogii_0171446710
49,677,Thalassiosira_weissflogii_0203164374,50.25,71,71,9.01E7,14,14,23,Pyro-glu from Q,5413,Thalassiosira_weissflogii_0203164374
49,645,tr|A0A089VIN2|A0A089VIN2_THAWE,50.25,54,54,9.01E7,14,14,23,Pyro-glu from Q,7470,Photosystem I reaction center subunit IV OS=Thalassiosira weissflogii OX=1577725 GN=psaE PE=3 SV=1
60,20860,Thalassiosira_weissflogii_0203386744,50.03,28,28,1.32E7,10,10,15,Oxidation (M),15820,Thalassiosira_weissflogii_0203386744
47,19,tr|A0A089VKF6|A0A089VKF6_THAWE,49.17,16,16,8.86E7,21,21,32,Methylation(KR); Pyro-glu from Q,56361,Photosystem II CP47 reaction center protein OS=Thalassiosira weissflogii OX=1577725 GN=psbB PE=3 SV=1
47,20,Thalassiosira_weissflogii_0203103378,49.17,16,16,8.86E7,21,21,32,Methylation(KR); Pyro-glu from Q,56361,Thalassiosira_weissflogii_0203103378
58,96,Thalassiosira_weissflogii_0203204888,48.53,10,10,1.31E7,17,17,20,Deamidation(N); Pyro-glu from Q,140088,Thalassiosira_weissflogii_0203204888
57,103,Thalassiosira_weissflogii_0201773708,47.74,36,36,1.19E7,16,11,18,Oxidation (M),21231,Thalassiosira_weissflogii_0201773708
53,1073,Thalassiosira_weissflogii_0203176104,47.20,13,13,1.7E7,12,12,14,,36010,Thalassiosira_weissflogii_0203176104
53,1074,Thalassiosira_weissflogii_0203395622,47.20,13,13,1.7E7,12,12,14,,37003,Thalassiosira_weissflogii_0203395622
51,9276,Thalassiosira_weissflogii_0201768374,47.19,27,27,2.65E7,14,14,22,Oxidation (M); Pyro-glu from Q,32815,Thalassiosira_weissflogii_0201768374
59,285,Thalassiosira_weissflogii_0203520826,47.07,16,16,1.73E7,12,11,17,Pyro-glu from Q,35064,Thalassiosira_weissflogii_0203520826
59,284,Thalassiosira_weissflogii_0203366844,47.07,10,10,1.73E7,12,11,17,Pyro-glu from Q,55376,Thalassiosira_weissflogii_0203366844
61,130,Thalassiosira_weissflogii_0171449500,44.80,10,10,6.42E6,11,11,12,,41793,Thalassiosira_weissflogii_0171449500
64,39104,Thalassiosira_weissflogii_0203479218,44.36,8,8,3.63E6,7,7,9,Pyro-glu from Q,53480,Thalassiosira_weissflogii_0203479218
66,516,Thalassiosira_weissflogii_0201768196,42.46,5,5,1.33E7,16,16,18,Pyro-glu from Q,237822,Thalassiosira_weissflogii_0201768196
55,98,tr|A0A1W6FBN1|A0A1W6FBN1_THAWE,40.94,13,13,5.69E7,11,11,21,Oxidation (M),36701,Photosystem II protein D1 (Fragment) OS=Thalassiosira weissflogii OX=1577725 GN=psbA PE=3 SV=1
55,47,tr|A0A089VPE6|A0A089VPE6_THAWE,40.94,12,12,5.69E7,11,11,21,Oxidation (M),39725,Photosystem II protein D1 OS=Thalassiosira weissflogii OX=1577725 GN=psbA PE=3 SV=1
55,48,Thalassiosira_weissflogii_0203215658,40.94,11,11,5.69E7,11,11,21,Oxidation (M),41911,Thalassiosira_weissflogii_0203215658
45,21,tr|A0A089VKJ7|A0A089VKJ7_THAWE,40.25,17,17,1.54E8,5,5,14,Oxidation(KPRY),20450,Photosystem I subunit III OS=Thalassiosira weissflogii OX=1577725 GN=psaF PE=4 SV=1
62,511,Thalassiosira_weissflogii_0203245572,40.08,13,13,3.44E7,10,10,14,,39916,Thalassiosira_weissflogii_0203245572
63,325,Thalassiosira_weissflogii_0203211260,39.99,7,7,1.05E7,9,9,14,,48610,Thalassiosira_weissflogii_0203211260
67,144,Thalassiosira_weissflogii_0203519974,39.91,14,14,8.54E6,12,11,15,Methylation(KR),75057,Thalassiosira_weissflogii_0203519974
75,156,Thalassiosira_weissflogii_0171418338,39.89,18,18,4.52E6,6,5,8,Oxidation (M); Pyro-glu from Q,21099,Thalassiosira_weissflogii_0171418338
50,22816,Thalassiosira_weissflogii_0171369240,38.84,21,21,2.75E7,6,6,15,,12382,Thalassiosira_weissflogii_0171369240
69,67,tr|A0A089VKN5|A0A089VKN5_THAWE,38.71,19,19,4.24E6,10,10,10,Pyro-glu from Q,44681,Elongation factor Tu  chloroplastic OS=Thalassiosira weissflogii OX=1577725 GN=tufA PE=3 SV=1
69,66,Thalassiosira_weissflogii_0203257228,38.71,19,19,4.24E6,10,10,10,Pyro-glu from Q,44681,Thalassiosira_weissflogii_0203257228
72,319,Thalassiosira_weissflogii_0171356290,38.58,9,9,1.23E7,9,9,10,Pyro-glu from Q,47343,Thalassiosira_weissflogii_0171356290
77,426,Thalassiosira_weissflogii_0203122474,38.24,4,4,2.96E6,6,4,11,Pyro-glu from Q,114920,Thalassiosira_weissflogii_0203122474
65,245,Thalassiosira_weissflogii_0201836064,38.03,20,20,2.47E6,8,2,11,Oxidation (M),21456,Thalassiosira_weissflogii_0201836064
65,246,Thalassiosira_weissflogii_0203294152,38.03,20,20,2.47E6,8,2,11,Oxidation (M),21811,Thalassiosira_weissflogii_0203294152
65,247,Thalassiosira_weissflogii_0171420522,38.03,20,20,2.47E6,8,2,11,Oxidation (M),21783,Thalassiosira_weissflogii_0171420522
71,39090,tr|A0A089X936|A0A089X936_THAWE,37.29,40,40,8.31E6,8,8,10,,14294,ATP synthase epsilon chain  chloroplastic OS=Thalassiosira weissflogii OX=1577725 GN=atpE PE=3 SV=1
85,39268,Thalassiosira_weissflogii_0201811490,37.16,9,9,9.9E5,5,5,6,Oxidation (M),58518,Thalassiosira_weissflogii_0201811490
74,39081,tr|A0A089X984|A0A089X984_THAWE,36.10,20,20,4.19E7,7,7,11,Pyro-glu from Q,22045,50S ribosomal protein L3  chloroplastic OS=Thalassiosira weissflogii OX=1577725 GN=rpl3 PE=3 SV=1
74,39082,Thalassiosira_weissflogii_0203311806,36.10,20,20,4.19E7,7,7,11,Pyro-glu from Q,22131,Thalassiosira_weissflogii_0203311806
68,314,Thalassiosira_weissflogii_0171402288,35.46,10,10,4.64E6,8,8,10,,80690,Thalassiosira_weissflogii_0171402288
73,7429,Thalassiosira_weissflogii_0203431958,34.83,6,6,6.11E6,10,10,11,,113574,Thalassiosira_weissflogii_0203431958
82,444,Thalassiosira_weissflogii_0203386088,32.58,6,6,6.03E6,3,3,4,,36066,Thalassiosira_weissflogii_0203386088
80,171,Thalassiosira_weissflogii_0203172154,30.95,5,5,5.1E6,5,5,6,,59067,Thalassiosira_weissflogii_0203172154
96,96066,Thalassiosira_weissflogii_0203510706,30.92,5,5,2.55E6,3,3,4,,41441,Thalassiosira_weissflogii_0203510706
76,326,Thalassiosira_weissflogii_0203356870,30.75,12,12,6.22E6,6,6,8,,27706,Thalassiosira_weissflogii_0203356870
90,108,Thalassiosira_weissflogii_0201746798,29.48,4,4,2.75E6,3,3,3,,93086,Thalassiosira_weissflogii_0201746798
99,185947,Thalassiosira_weissflogii_0203214018,29.32,6,6,2.23E6,2,2,2,Pyro-glu from Q,21634,Thalassiosira_weissflogii_0203214018
99,185948,Thalassiosira_weissflogii_0203501280,29.32,5,5,2.23E6,2,2,2,Pyro-glu from Q,21663,Thalassiosira_weissflogii_0203501280
70,634,Thalassiosira_weissflogii_0203273400,28.94,12,12,5.61E6,3,3,7,Methylation(KR),25096,Thalassiosira_weissflogii_0203273400
70,625,Thalassiosira_weissflogii_0203522088,28.94,12,12,5.61E6,3,3,7,Methylation(KR),26794,Thalassiosira_weissflogii_0203522088
70,635,Thalassiosira_weissflogii_0201778388,28.94,12,12,5.61E6,3,3,7,Methylation(KR),26716,Thalassiosira_weissflogii_0201778388
84,559,Thalassiosira_weissflogii_0203230250,28.89,4,4,1.66E6,3,3,5,,33594,Thalassiosira_weissflogii_0203230250
84,566,Thalassiosira_weissflogii_0203350886,28.89,3,3,1.66E6,3,3,5,,40711,Thalassiosira_weissflogii_0203350886
84,567,Thalassiosira_weissflogii_0203566088,28.89,3,3,1.66E6,3,3,5,,41926,Thalassiosira_weissflogii_0203566088
84,568,Thalassiosira_weissflogii_0171384504,28.89,3,3,1.66E6,3,3,5,,42582,Thalassiosira_weissflogii_0171384504
84,587,Thalassiosira_weissflogii_0201769400,28.89,3,3,1.66E6,3,3,5,,46616,Thalassiosira_weissflogii_0201769400
84,571,Thalassiosira_weissflogii_0203289384,28.89,2,2,1.66E6,3,3,5,,58968,Thalassiosira_weissflogii_0203289384
84,39390,Thalassiosira_weissflogii_0171432196,28.89,10,10,1.66E6,3,3,5,,12072,Thalassiosira_weissflogii_0171432196
84,599,Thalassiosira_weissflogii_0201837250,28.89,4,4,1.66E6,3,3,5,,31382,Thalassiosira_weissflogii_0201837250
84,7748,Thalassiosira_weissflogii_0171353630,28.89,4,4,1.66E6,3,3,5,,32676,Thalassiosira_weissflogii_0171353630
84,606,Thalassiosira_weissflogii_0201829604,28.89,4,4,1.66E6,3,3,5,,34915,Thalassiosira_weissflogii_0201829604
84,562,Thalassiosira_weissflogii_0203104274,28.89,4,4,1.66E6,3,3,5,,34689,Thalassiosira_weissflogii_0203104274
84,561,Thalassiosira_weissflogii_0203505400,28.89,4,4,1.66E6,3,3,5,,34833,Thalassiosira_weissflogii_0203505400
84,563,Thalassiosira_weissflogii_0203474076,28.89,4,4,1.66E6,3,3,5,,35193,Thalassiosira_weissflogii_0203474076
84,564,Thalassiosira_weissflogii_0203627578,28.89,3,3,1.66E6,3,3,5,,36011,Thalassiosira_weissflogii_0203627578
84,565,Thalassiosira_weissflogii_0203198708,28.89,3,3,1.66E6,3,3,5,,38541,Thalassiosira_weissflogii_0203198708
84,569,Thalassiosira_weissflogii_0203135454,28.89,3,3,1.66E6,3,3,5,,44247,Thalassiosira_weissflogii_0203135454
83,208,tr|A0A089VKJ4|A0A089VKJ4_THAWE,27.23,11,11,1.97E7,5,5,8,,15754,Photosystem I reaction center subunit XI OS=Thalassiosira weissflogii OX=1577725 GN=psaL PE=3 SV=1
98,295,Thalassiosira_weissflogii_0203228564,26.75,7,7,1.87E6,3,3,3,,53080,Thalassiosira_weissflogii_0203228564
98,154,Thalassiosira_weissflogii_0201829390,26.75,5,5,1.87E6,3,3,3,,81211,Thalassiosira_weissflogii_0201829390
101,457,Thalassiosira_weissflogii_0203545546,26.70,6,6,2.17E6,2,2,2,,30926,Thalassiosira_weissflogii_0203545546
78,637,tr|A0A089VKH6|A0A089VKH6_THAWE,26.65,9,9,1.79E6,3,3,7,,39534,Mg-protoporphyrin IX chelatase OS=Thalassiosira weissflogii OX=1577725 GN=chlI PE=3 SV=1
78,636,Thalassiosira_weissflogii_0203102818,26.65,10,10,1.79E6,3,3,7,,33942,Thalassiosira_weissflogii_0203102818
89,1566,Thalassiosira_weissflogii_0203237080,25.80,11,11,6.19E6,10,10,12,Oxidation (M),85926,Thalassiosira_weissflogii_0203237080
94,20653,Thalassiosira_weissflogii_0203609740,25.65,15,15,1.3E7,4,4,4,,18266,Thalassiosira_weissflogii_0203609740
88,39102,Thalassiosira_weissflogii_0201775250,25.59,11,11,1.22E7,11,11,12,Oxidation(KPRY); Pyro-glu from Q,71980,Thalassiosira_weissflogii_0201775250
95,39760,Thalassiosira_weissflogii_0203289014,25.46,3,3,2.05E6,2,2,5,Oxidation (M),41260,Thalassiosira_weissflogii_0203289014
95,39761,Thalassiosira_weissflogii_0203538228,25.46,3,3,2.05E6,2,2,5,Oxidation (M),44032,Thalassiosira_weissflogii_0203538228
102,39129,Thalassiosira_weissflogii_0203145968,25.25,3,3,7.77E5,2,2,2,,49775,Thalassiosira_weissflogii_0203145968
86,39158,Thalassiosira_weissflogii_0171329804,24.56,11,11,4.81E6,2,2,4,,18537,Thalassiosira_weissflogii_0171329804
87,39831,Thalassiosira_weissflogii_0203139544,24.40,2,2,3.64E5,2,2,4,,107642,Thalassiosira_weissflogii_0203139544
91,39111,Thalassiosira_weissflogii_0203363640,24.17,10,10,2.03E6,3,3,3,,30994,Thalassiosira_weissflogii_0203363640
91,39112,Thalassiosira_weissflogii_0201836810,24.17,10,10,2.03E6,3,3,3,,31352,Thalassiosira_weissflogii_0201836810
79,14,Thalassiosira_weissflogii_0171348692,24.08,19,19,7.66E6,6,6,7,Pyro-glu from Q,28857,Thalassiosira_weissflogii_0171348692
79,15,tr|A0A089VIP5|A0A089VIP5_THAWE,24.08,16,16,7.66E6,6,6,7,Pyro-glu from Q,33988,Cytochrome f OS=Thalassiosira weissflogii OX=1577725 GN=petA PE=4 SV=1
81,39455,Thalassiosira_weissflogii_0203181712,24.07,5,5,3.47E6,3,3,4,,49819,Thalassiosira_weissflogii_0203181712
92,207,Thalassiosira_weissflogii_0203169094,24.00,10,10,5.75E6,10,10,10,Pyro-glu from Q,67934,Thalassiosira_weissflogii_0203169094
92,209,tr|A0A089VP72|A0A089VP72_THAWE,24.00,10,10,5.75E6,10,10,10,Pyro-glu from Q,69843,ATP-dependent zinc metalloprotease FtsH OS=Thalassiosira weissflogii OX=1577725 GN=ftsH PE=3 SV=1
92,205,Thalassiosira_weissflogii_0203323600,24.00,7,7,5.16E6,7,7,7,Pyro-glu from Q,62910,Thalassiosira_weissflogii_0203323600
92,206,Thalassiosira_weissflogii_0203107868,24.00,7,7,5.16E6,7,7,7,Pyro-glu from Q,64828,Thalassiosira_weissflogii_0203107868
130,96093,Thalassiosira_weissflogii_0203592668,21.73,1,1,2.07E5,1,1,1,,135385,Thalassiosira_weissflogii_0203592668
108,34,Thalassiosira_weissflogii_0201801252,21.67,4,4,1.25E6,2,2,2,,51368,Thalassiosira_weissflogii_0201801252
108,33,Thalassiosira_weissflogii_0171446742,21.67,3,3,1.25E6,2,2,2,,63737,Thalassiosira_weissflogii_0171446742
108,32,Thalassiosira_weissflogii_0203321206,21.67,3,3,1.25E6,2,2,2,,69732,Thalassiosira_weissflogii_0203321206
108,234,Thalassiosira_weissflogii_0201804180,21.67,3,3,6.72E5,1,1,1,,33239,Thalassiosira_weissflogii_0201804180
