TermID, Name, Frequency, PlotX, PlotY, LogSize, Uniqueness, Dispensability, Representative, Eliminated
"GO:0019277", "UDP-N-acetylgalactosamine biosynthetic process", 0.040, null, null, 3.961, 0.694, 0.755, 6044, True
"GO:0009253", "peptidoglycan catabolic process", 0.155, null, null, 4.550, 0.739, 0.817, 6044, True
"GO:0009166", "nucleotide catabolic process", 0.203, null, null, 4.667, 0.596, 0.860, 6044, True
"GO:0009264", "deoxyribonucleotide catabolic process", 0.112, null, null, 4.409, 0.601, 0.914, 6044, True
"GO:0070329", "tRNA seleno-modification", 0.000, 7.522, 2.873, 0.602, 0.861, 0.037, -1, False
"GO:0019379", "sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin)", 0.024, 3.699, -6.991, 3.734, 0.905, 0.045, -1, False
"GO:0006556", "S-adenosylmethionine biosynthetic process", 0.055, null, null, 4.097, 0.827, 0.455, 19379, True
"GO:0071793", "bacillithiol biosynthetic process", 0.010, null, null, 3.375, 0.708, 0.510, 19379, True
"GO:0052699", "ergothioneine biosynthetic process", 0.020, null, null, 3.661, 0.700, 0.531, 19379, True
"GO:0070814", "hydrogen sulfide biosynthetic process", 0.074, null, null, 4.226, 0.826, 0.578, 19379, True
"GO:0009229", "thiamine diphosphate biosynthetic process", 0.166, null, null, 4.579, 0.683, 0.625, 19379, True
"GO:0009116", "nucleoside metabolic process", 0.782, null, null, 5.252, 0.663, 0.677, 19379, True
"GO:0009228", "thiamine biosynthetic process", 0.241, null, null, 4.741, 0.645, 0.748, 19379, True
"GO:0006213", "pyrimidine nucleoside metabolic process", 0.053, null, null, 4.086, 0.711, 0.767, 19379, True
"GO:0008616", "queuosine biosynthetic process", 0.163, null, null, 4.572, 0.645, 0.843, 19379, True
"GO:0006772", "thiamine metabolic process", 0.260, null, null, 4.775, 0.701, 0.991, 19379, True
"GO:0019634", "organic phosphonate metabolic process", 0.037, 5.348, -5.362, 3.928, 0.869, 0.046, -1, False
"GO:0042744", "hydrogen peroxide catabolic process", 0.129, -1.563, 6.478, 4.470, 0.853, 0.050, -1, False
"GO:0006081", "cellular aldehyde metabolic process", 0.436, -0.666, -1.972, 4.999, 0.922, 0.056, -1, False
"GO:0006730", "one-carbon metabolic process", 0.380, 2.939, -3.655, 4.938, 0.796, 0.059, -1, False
"GO:0022900", "electron transport chain", 1.919, 0.696, 7.796, 5.642, 0.885, 0.069, -1, False
"GO:0009772", "photosynthetic electron transport in photosystem II", 0.013, null, null, 3.474, 0.921, 0.501, 22900, True
"GO:0006098", "pentose-phosphate shunt", 0.214, null, null, 4.690, 0.800, 0.640, 22900, True
"GO:0022904", "respiratory electron transport chain", 0.439, null, null, 5.002, 0.893, 0.689, 22900, True
"GO:0042773", "ATP synthesis coupled electron transport", 0.233, null, null, 4.726, 0.893, 0.769, 22900, True
"GO:0006119", "oxidative phosphorylation", 0.382, null, null, 4.941, 0.889, 0.803, 22900, True
"GO:0009060", "aerobic respiration", 0.977, null, null, 5.349, 0.885, 0.878, 22900, True
"GO:0006099", "tricarboxylic acid cycle", 0.546, null, null, 5.096, 0.884, 0.898, 22900, True
"GO:0005976", "polysaccharide metabolic process", 1.153, 4.947, 5.652, 5.421, 0.836, 0.091, -1, False
"GO:0019299", "rhamnose metabolic process", 0.017, null, null, 3.585, 0.798, 0.403, 5976, True
"GO:0009312", "oligosaccharide biosynthetic process", 0.283, null, null, 4.810, 0.795, 0.512, 5976, True
"GO:0019301", "rhamnose catabolic process", 0.011, null, null, 3.416, 0.753, 0.552, 5976, True
"GO:0006013", "mannose metabolic process", 0.037, null, null, 3.924, 0.788, 0.591, 5976, True
"GO:0016052", "carbohydrate catabolic process", 1.344, null, null, 5.487, 0.795, 0.604, 5976, True
"GO:0016051", "carbohydrate biosynthetic process", 1.220, null, null, 5.446, 0.782, 0.607, 5976, True
"GO:0006004", "fucose metabolic process", 0.070, null, null, 4.206, 0.778, 0.647, 5976, True
"GO:0019303", "D-ribose catabolic process", 0.034, null, null, 3.890, 0.737, 0.749, 5976, True
"GO:0006006", "glucose metabolic process", 0.424, null, null, 4.986, 0.747, 0.771, 5976, True
"GO:0005992", "trehalose biosynthetic process", 0.069, null, null, 4.196, 0.800, 0.849, 5976, True
"GO:0006007", "glucose catabolic process", 0.029, null, null, 3.826, 0.738, 0.852, 5976, True
"GO:0006094", "gluconeogenesis", 0.262, null, null, 4.777, 0.696, 0.860, 5976, True
"GO:0009245", "lipid A biosynthetic process", 0.163, null, null, 4.572, 0.695, 0.909, 5976, True
"GO:0042558", "pteridine-containing compound metabolic process", 0.547, 7.686, 1.118, 5.097, 0.817, 0.113, -1, False
"GO:0042752", "regulation of circadian rhythm", 0.033, -4.437, 2.628, 3.872, 0.977, 0.128, -1, False
"GO:0009403", "toxin biosynthetic process", 0.059, 7.288, -2.989, 4.132, 0.860, 0.134, -1, False
"GO:0019290", "siderophore biosynthetic process", 0.040, null, null, 3.956, 0.782, 0.862, 9403, True
"GO:0010974", "negative regulation of division septum assembly", 0.005, -4.071, 5.522, 3.076, 0.970, 0.137, -1, False
"GO:0045892", "negative regulation of transcription, DNA-templated", 0.665, null, null, 5.182, 0.956, 0.505, 10974, True
"GO:0042173", "regulation of sporulation resulting in formation of a cellular spore", 0.018, -3.437, 3.530, 3.612, 0.975, 0.147, -1, False
"GO:0008360", "regulation of cell shape", 0.726, null, null, 5.220, 0.961, 0.634, 42173, True
"GO:0019432", "triglyceride biosynthetic process", 0.035, 7.840, -2.268, 3.908, 0.830, 0.147, -1, False
"GO:0016042", "lipid catabolic process", 0.536, null, null, 5.089, 0.808, 0.459, 19432, True
"GO:0016998", "cell wall macromolecule catabolic process", 0.128, null, null, 4.467, 0.794, 0.463, 19432, True
"GO:0050992", "dimethylallyl diphosphate biosynthetic process", 0.049, null, null, 4.053, 0.781, 0.471, 19432, True
"GO:0070395", "lipoteichoic acid biosynthetic process", 0.005, null, null, 3.066, 0.688, 0.555, 19432, True
"GO:0008299", "isoprenoid biosynthetic process", 0.501, null, null, 5.059, 0.795, 0.575, 19432, True
"GO:0006515", "protein quality control for misfolded or incompletely synthesized proteins", 0.062, null, null, 4.153, 0.776, 0.587, 19432, True
"GO:0000272", "polysaccharide catabolic process", 0.453, null, null, 5.015, 0.771, 0.619, 19432, True
"GO:0045226", "extracellular polysaccharide biosynthetic process", 0.065, null, null, 4.173, 0.763, 0.693, 19432, True
"GO:0030245", "cellulose catabolic process", 0.093, null, null, 4.327, 0.765, 0.713, 19432, True
"GO:0010498", "proteasomal protein catabolic process", 0.311, null, null, 4.851, 0.749, 0.720, 19432, True
"GO:0030163", "protein catabolic process", 1.027, null, null, 5.371, 0.752, 0.748, 19432, True
"GO:0006401", "RNA catabolic process", 0.457, null, null, 5.019, 0.692, 0.748, 19432, True
"GO:0045493", "xylan catabolic process", 0.065, null, null, 4.173, 0.759, 0.750, 19432, True
"GO:0006650", "glycerophospholipid metabolic process", 0.664, null, null, 5.181, 0.793, 0.756, 19432, True
"GO:0005978", "glycogen biosynthetic process", 0.109, null, null, 4.396, 0.732, 0.797, 19432, True
"GO:0006096", "glycolytic process", 0.536, null, null, 5.088, 0.537, 0.800, 19432, True
"GO:0009103", "lipopolysaccharide biosynthetic process", 0.137, null, null, 4.497, 0.677, 0.805, 19432, True
"GO:0006402", "mRNA catabolic process", 0.267, null, null, 4.785, 0.674, 0.835, 19432, True
"GO:0046854", "phosphatidylinositol phosphate biosynthetic process", 0.168, null, null, 4.585, 0.759, 0.859, 19432, True
"GO:0019941", "modification-dependent protein catabolic process", 0.704, null, null, 5.206, 0.733, 0.883, 19432, True
"GO:0005980", "glycogen catabolic process", 0.035, null, null, 3.899, 0.760, 0.887, 19432, True
"GO:0009244", "lipopolysaccharide core region biosynthetic process", 0.030, null, null, 3.834, 0.706, 0.889, 19432, True
"GO:0019288", "isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway", 0.170, null, null, 4.590, 0.646, 0.890, 19432, True
"GO:0008654", "phospholipid biosynthetic process", 1.206, null, null, 5.440, 0.722, 0.892, 19432, True
"GO:0016114", "terpenoid biosynthetic process", 0.302, null, null, 4.839, 0.803, 0.936, 19432, True
"GO:0045017", "glycerolipid biosynthetic process", 0.570, null, null, 5.115, 0.792, 0.962, 19432, True
"GO:0000820", "regulation of glutamine family amino acid metabolic process", 0.013, -5.318, 4.208, 3.481, 0.970, 0.148, -1, False
"GO:0045717", "negative regulation of fatty acid biosynthetic process", 0.007, null, null, 3.196, 0.966, 0.815, 820, True
"GO:0015772", "oligosaccharide transport", 0.011, -5.038, -4.356, 3.394, 0.948, 0.150, -1, False
"GO:0015753", "D-xylose transmembrane transport", 0.004, null, null, 2.974, 0.941, 0.519, 15772, True
"GO:0009401", "phosphoenolpyruvate-dependent sugar phosphotransferase system", 0.259, null, null, 4.772, 0.935, 0.661, 15772, True
"GO:0015757", "galactose transmembrane transport", 0.007, null, null, 3.221, 0.939, 0.744, 15772, True
"GO:0046944", "protein carbamoylation", 0.008, 6.423, 4.326, 3.262, 0.860, 0.155, -1, False
"GO:0017000", "antibiotic biosynthetic process", 0.081, 7.235, -2.423, 4.269, 0.856, 0.155, -1, False
"GO:0030655", "beta-lactam antibiotic catabolic process", 0.009, null, null, 3.317, 0.730, 0.828, 17000, True
"GO:0043419", "urea catabolic process", 0.044, null, null, 3.999, 0.706, 0.831, 17000, True
"GO:0051191", "prosthetic group biosynthetic process", 0.002, 4.568, 1.693, 2.702, 0.837, 0.159, -1, False
"GO:0032324", "molybdopterin cofactor biosynthetic process", 0.053, null, null, 4.080, 0.730, 0.659, 51191, True
"GO:0006777", "Mo-molybdopterin cofactor biosynthetic process", 0.235, null, null, 4.731, 0.701, 0.887, 51191, True
"GO:0006808", "regulation of nitrogen utilization", 0.074, -5.697, 3.224, 4.229, 0.976, 0.161, -1, False
"GO:0019428", "allantoin biosynthetic process", 0.008, 7.351, -0.880, 3.242, 0.786, 0.162, -1, False
"GO:0055072", "iron ion homeostasis", 0.140, -5.393, 2.729, 4.504, 0.967, 0.166, -1, False
"GO:0009691", "cytokinin biosynthetic process", 0.048, null, null, 4.036, 0.790, 0.480, 55072, True
"GO:0001678", "cellular glucose homeostasis", 0.041, null, null, 3.970, 0.959, 0.704, 55072, True
"GO:0006596", "polyamine biosynthetic process", 0.122, null, null, 4.447, 0.780, 0.715, 55072, True
"GO:0045454", "cell redox homeostasis", 0.191, null, null, 4.639, 0.952, 0.718, 55072, True
"GO:0071586", "CAAX-box protein processing", 0.112, 5.360, 3.105, 4.407, 0.826, 0.197, -1, False
"GO:0009249", "protein lipoylation", 0.084, null, null, 4.283, 0.823, 0.762, 71586, True
"GO:0043631", "RNA polyadenylation", 0.052, 7.863, 0.727, 4.075, 0.812, 0.198, -1, False
"GO:0006107", "oxaloacetate metabolic process", 0.017, 2.501, -2.552, 3.586, 0.786, 0.217, -1, False
"GO:0034628", "'de novo' NAD biosynthetic process from aspartate", 0.001, null, null, 2.086, 0.708, 0.428, 6107, True
"GO:0033611", "oxalate catabolic process", 0.004, null, null, 2.953, 0.757, 0.473, 6107, True
"GO:0006106", "fumarate metabolic process", 0.051, null, null, 4.070, 0.771, 0.548, 6107, True
"GO:0046417", "chorismate metabolic process", 0.284, null, null, 4.812, 0.742, 0.663, 6107, True
"GO:0019877", "diaminopimelate biosynthetic process", 0.149, null, null, 4.533, 0.702, 0.720, 6107, True
"GO:0009423", "chorismate biosynthetic process", 0.229, null, null, 4.718, 0.694, 0.802, 6107, True
"GO:0019551", "glutamate catabolic process to 2-oxoglutarate", 0.016, null, null, 3.567, 0.701, 0.828, 6107, True
"GO:0009089", "lysine biosynthetic process via diaminopimelate", 0.296, null, null, 4.830, 0.655, 0.942, 6107, True
"GO:0006282", "regulation of DNA repair", 0.066, -4.458, 4.553, 4.179, 0.969, 0.225, -1, False
"GO:0051606", "detection of stimulus", 0.433, -6.658, 0.055, 4.996, 0.956, 0.225, -1, False
"GO:0017003", "protein-heme linkage", 0.016, 5.936, 4.116, 3.562, 0.854, 0.242, -1, False
"GO:0006168", "adenine salvage", 0.033, 5.478, -1.439, 3.884, 0.703, 0.248, -1, False
"GO:0015969", "guanosine tetraphosphate metabolic process", 0.064, null, null, 4.166, 0.700, 0.458, 6168, True
"GO:0006183", "GTP biosynthetic process", 0.050, null, null, 4.058, 0.670, 0.507, 6168, True
"GO:0006228", "UTP biosynthetic process", 0.049, null, null, 4.051, 0.665, 0.670, 6168, True
"GO:0015937", "coenzyme A biosynthetic process", 0.167, null, null, 4.582, 0.643, 0.743, 6168, True
"GO:0006206", "pyrimidine nucleobase metabolic process", 0.265, null, null, 4.783, 0.702, 0.758, 6168, True
"GO:0015986", "ATP synthesis coupled proton transport", 0.435, null, null, 4.998, 0.563, 0.811, 6168, True
"GO:0009113", "purine nucleobase biosynthetic process", 0.123, null, null, 4.450, 0.681, 0.837, 6168, True
"GO:0006085", "acetyl-CoA biosynthetic process", 0.121, null, null, 4.442, 0.616, 0.840, 6168, True
"GO:0006086", "acetyl-CoA biosynthetic process from pyruvate", 0.045, null, null, 4.011, 0.612, 0.861, 6168, True
"GO:0006207", "'de novo' pyrimidine nucleobase biosynthetic process", 0.183, null, null, 4.621, 0.676, 0.866, 6168, True
"GO:0006241", "CTP biosynthetic process", 0.148, null, null, 4.531, 0.639, 0.920, 6168, True
"GO:0006275", "regulation of DNA replication", 0.106, -4.827, 4.372, 4.386, 0.968, 0.255, -1, False
"GO:0006260", "DNA replication", 1.525, 5.906, 0.423, 5.542, 0.767, 0.258, -1, False
"GO:0006261", "DNA-dependent DNA replication", 0.556, null, null, 5.104, 0.780, 0.416, 6260, True
"GO:0033567", "DNA replication, Okazaki fragment processing", 0.020, null, null, 3.659, 0.780, 0.601, 6260, True
"GO:0006268", "DNA unwinding involved in DNA replication", 0.067, null, null, 4.183, 0.773, 0.659, 6260, True
"GO:0006270", "DNA replication initiation", 0.124, null, null, 4.453, 0.751, 0.737, 6260, True
"GO:0006269", "DNA replication, synthesis of RNA primer", 0.137, null, null, 4.496, 0.698, 0.777, 6260, True
"GO:0009584", "detection of visible light", 0.024, -6.589, 0.486, 3.748, 0.950, 0.259, -1, False
"GO:0009432", "SOS response", 0.310, null, null, 4.850, 0.916, 0.567, 9584, True
"GO:0006298", "mismatch repair", 0.166, null, null, 4.579, 0.750, 0.588, 9584, True
"GO:0006289", "nucleotide-excision repair", 0.266, null, null, 4.784, 0.741, 0.611, 9584, True
"GO:0006284", "base-excision repair", 0.297, null, null, 4.832, 0.738, 0.621, 9584, True
"GO:0009372", "quorum sensing", 0.021, null, null, 3.674, 0.944, 0.645, 9584, True
"GO:0042742", "defense response to bacterium", 0.115, null, null, 4.419, 0.936, 0.656, 9584, True
"GO:0009408", "response to heat", 0.190, null, null, 4.638, 0.939, 0.698, 9584, True
"GO:0051607", "defense response to virus", 0.148, null, null, 4.528, 0.934, 0.789, 9584, True
"GO:0034605", "cellular response to heat", 0.065, null, null, 4.174, 0.930, 0.887, 9584, True
"GO:0006825", "copper ion transport", 0.070, -4.560, -3.497, 4.207, 0.947, 0.261, -1, False
"GO:0006814", "sodium ion transport", 0.354, null, null, 4.908, 0.942, 0.505, 6825, True
"GO:0006813", "potassium ion transport", 0.528, null, null, 5.082, 0.940, 0.598, 6825, True
"GO:0030001", "metal ion transport", 1.312, null, null, 5.477, 0.935, 0.680, 6825, True
"GO:1902600", "proton transmembrane transport", 1.109, null, null, 5.404, 0.922, 0.737, 6825, True
"GO:0006826", "iron ion transport", 0.262, null, null, 4.778, 0.942, 0.797, 6825, True
"GO:0006313", "transposition, DNA-mediated", 0.413, 6.749, 1.607, 4.975, 0.771, 0.261, -1, False
"GO:0006306", "DNA methylation", 0.212, null, null, 4.686, 0.768, 0.475, 6313, True
"GO:0006304", "DNA modification", 0.370, null, null, 4.927, 0.767, 0.499, 6313, True
"GO:0015074", "DNA integration", 0.804, null, null, 5.264, 0.760, 0.537, 6313, True
"GO:0071897", "DNA biosynthetic process", 0.699, null, null, 5.204, 0.681, 0.566, 6313, True
"GO:0006310", "DNA recombination", 1.722, null, null, 5.595, 0.743, 0.623, 6313, True
"GO:0000724", "double-strand break repair via homologous recombination", 0.118, null, null, 4.430, 0.755, 0.653, 6313, True
"GO:0000725", "recombinational repair", 0.154, null, null, 4.548, 0.750, 0.667, 6313, True
"GO:0006307", "DNA dealkylation involved in DNA repair", 0.042, null, null, 3.983, 0.763, 0.801, 6313, True
"GO:0009307", "DNA restriction-modification system", 0.124, null, null, 4.453, 0.740, 0.868, 6313, True
"GO:0017013", "protein flavinylation", 0.032, 6.176, 3.744, 3.860, 0.847, 0.262, -1, False
"GO:0006797", "polyphosphate metabolic process", 0.044, 3.954, -3.976, 3.999, 0.779, 0.266, -1, False
"GO:0018339", "peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid", 0.023, 6.601, 3.808, 3.724, 0.846, 0.268, -1, False
"GO:0018160", "peptidyl-pyrromethane cofactor linkage", 0.031, null, null, 3.854, 0.843, 0.886, 18339, True
"GO:0006799", "polyphosphate biosynthetic process", 0.029, 4.711, -3.180, 3.817, 0.762, 0.274, -1, False
"GO:0052547", "regulation of peptidase activity", 0.272, -4.917, 3.731, 4.794, 0.964, 0.279, -1, False
"GO:0001514", "selenocysteine incorporation", 0.017, null, null, 3.584, 0.748, 0.488, 52547, True
"GO:0006449", "regulation of translational termination", 0.039, null, null, 3.951, 0.963, 0.518, 52547, True
"GO:0031564", "transcription antitermination", 0.113, null, null, 4.412, 0.962, 0.835, 52547, True
"GO:0043461", "proton-transporting ATP synthase complex assembly", 0.017, -1.110, 0.850, 3.591, 0.943, 0.288, -1, False
"GO:0043165", "Gram-negative-bacterium-type cell outer membrane assembly", 0.077, null, null, 4.245, 0.932, 0.446, 43461, True
"GO:0042254", "ribosome biogenesis", 1.659, null, null, 5.579, 0.924, 0.507, 43461, True
"GO:0017004", "cytochrome complex assembly", 0.247, null, null, 4.752, 0.931, 0.595, 43461, True
"GO:0016226", "iron-sulfur cluster assembly", 0.337, null, null, 4.887, 0.833, 0.604, 43461, True
"GO:0008535", "respiratory chain complex IV assembly", 0.042, null, null, 3.983, 0.939, 0.634, 43461, True
"GO:0000453", "enzyme-directed rRNA 2'-O-methylation", 0.036, null, null, 3.919, 0.755, 0.649, 43461, True
"GO:0006749", "glutathione metabolic process", 0.470, null, null, 5.031, 0.765, 0.653, 43461, True
"GO:0006751", "glutathione catabolic process", 0.059, null, null, 4.127, 0.735, 0.685, 43461, True
"GO:0015940", "pantothenate biosynthetic process", 0.120, null, null, 4.439, 0.654, 0.726, 43461, True
"GO:0035999", "tetrahydrofolate interconversion", 0.169, null, null, 4.588, 0.750, 0.747, 43461, True
"GO:0071555", "cell wall organization", 0.916, null, null, 5.321, 0.921, 0.759, 43461, True
"GO:0070475", "rRNA base methylation", 0.135, null, null, 4.489, 0.732, 0.774, 43461, True
"GO:0006633", "fatty acid biosynthetic process", 0.771, null, null, 5.246, 0.641, 0.780, 43461, True
"GO:0009396", "folic acid-containing compound biosynthetic process", 0.262, null, null, 4.778, 0.729, 0.866, 43461, True
"GO:0015941", "pantothenate catabolic process", 0.030, null, null, 3.834, 0.672, 0.882, 43461, True
"GO:0046656", "folic acid biosynthetic process", 0.107, null, null, 4.389, 0.635, 0.903, 43461, True
"GO:0044038", "cell wall macromolecule biosynthetic process", 0.821, null, null, 5.273, 0.729, 0.904, 43461, True
"GO:0006364", "rRNA processing", 1.104, null, null, 5.402, 0.702, 0.906, 43461, True
"GO:0071709", "membrane assembly", 0.101, null, null, 4.363, 0.932, 0.977, 43461, True
"GO:0009252", "peptidoglycan biosynthetic process", 0.752, null, null, 5.235, 0.647, 0.983, 43461, True
"GO:0006066", "alcohol metabolic process", 0.591, 2.824, -3.270, 5.131, 0.781, 0.289, -1, False
"GO:0019619", "3,4-dihydroxybenzoate catabolic process", 0.019, null, null, 3.629, 0.697, 0.668, 6066, True
"GO:0019632", "shikimate metabolic process", 0.022, null, null, 3.699, 0.778, 0.676, 6066, True
"GO:0008615", "pyridoxine biosynthetic process", 0.082, null, null, 4.274, 0.685, 0.750, 6066, True
"GO:0019441", "tryptophan catabolic process to kynurenine", 0.076, null, null, 4.237, 0.653, 0.783, 6066, True
"GO:0006071", "glycerol metabolic process", 0.153, null, null, 4.544, 0.750, 0.790, 6066, True
"GO:0046855", "inositol phosphate dephosphorylation", 0.112, null, null, 4.410, 0.667, 0.822, 6066, True
"GO:0046496", "nicotinamide nucleotide metabolic process", 0.357, null, null, 4.912, 0.678, 0.829, 6066, True
"GO:0042823", "pyridoxal phosphate biosynthetic process", 0.097, null, null, 4.344, 0.653, 0.940, 6066, True
"GO:0009435", "NAD biosynthetic process", 0.261, null, null, 4.776, 0.648, 0.968, 6066, True
"GO:0071973", "bacterial-type flagellum-dependent cell motility", 0.284, -5.251, -2.913, 4.813, 0.942, 0.291, -1, False
"GO:0006935", "chemotaxis", 0.544, null, null, 5.094, 0.930, 0.831, 71973, True
"GO:0097588", "archaeal or bacterial-type flagellum-dependent cell motility", 0.308, null, null, 4.847, 0.941, 0.967, 71973, True
"GO:0015942", "formate metabolic process", 0.083, 3.027, -2.787, 4.278, 0.769, 0.294, -1, False
"GO:0019629", "propionate catabolic process, 2-methylcitrate cycle", 0.014, null, null, 3.513, 0.715, 0.438, 15942, True
"GO:0019521", "D-gluconate metabolic process", 0.056, null, null, 4.105, 0.734, 0.479, 15942, True
"GO:0006097", "glyoxylate cycle", 0.056, null, null, 4.107, 0.731, 0.545, 15942, True
"GO:0006090", "pyruvate metabolic process", 0.823, null, null, 5.274, 0.726, 0.588, 15942, True
"GO:0006631", "fatty acid metabolic process", 1.105, null, null, 5.402, 0.684, 0.751, 15942, True
"GO:0006635", "fatty acid beta-oxidation", 0.099, null, null, 4.354, 0.678, 0.850, 15942, True
"GO:0032784", "regulation of DNA-templated transcription, elongation", 0.151, -4.340, 4.115, 4.537, 0.966, 0.296, -1, False
"GO:0018298", "protein-chromophore linkage", 0.140, 6.099, 3.316, 4.505, 0.830, 0.301, -1, False
"GO:0015734", "taurine transport", 0.002, -4.542, -4.321, 2.601, 0.945, 0.310, -1, False
"GO:0006817", "phosphate ion transport", 0.315, null, null, 4.858, 0.945, 0.505, 15734, True
"GO:0006865", "amino acid transport", 0.753, null, null, 5.236, 0.930, 0.584, 15734, True
"GO:0046416", "D-amino acid metabolic process", 0.092, 3.205, -1.935, 4.322, 0.745, 0.312, -1, False
"GO:0030632", "D-alanine biosynthetic process", 0.033, null, null, 3.882, 0.718, 0.426, 46416, True
"GO:0006547", "histidine metabolic process", 0.453, null, null, 5.015, 0.723, 0.434, 46416, True
"GO:0006529", "asparagine biosynthetic process", 0.073, null, null, 4.223, 0.700, 0.484, 46416, True
