Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 325_T12_trypsin,Area 325_T12_trypsin,#Peptides,#Unique,#Spec 325_T12_trypsin,PTM,Avg. Mass,Description
50,59878,Thalassiosira_weissflogii_0203294156,30.42,4,4,1.89E5,1,1,1,,27420,Thalassiosira_weissflogii_0203294156
55,168,Thalassiosira_weissflogii_0171330038,29.26,5,5,2.28E5,1,1,1,,24078,Thalassiosira_weissflogii_0171330038
81,20784,Thalassiosira_weissflogii_0203505222,28.48,3,3,3.98E4,1,1,1,,43978,Thalassiosira_weissflogii_0203505222
81,20785,Thalassiosira_weissflogii_0203443340,28.48,3,3,3.98E4,1,1,1,,46089,Thalassiosira_weissflogii_0203443340
114,59880,Thalassiosira_weissflogii_0203385142,27.14,3,3,1.26E5,1,1,1,Carbamidomethylation,49464,Thalassiosira_weissflogii_0203385142
114,59881,Thalassiosira_weissflogii_0171428124,27.14,2,2,1.26E5,1,1,1,Carbamidomethylation,63720,Thalassiosira_weissflogii_0171428124
114,59882,Thalassiosira_weissflogii_0203447044,27.14,2,2,1.26E5,1,1,1,Carbamidomethylation,65135,Thalassiosira_weissflogii_0203447044
49,69,Thalassiosira_weissflogii_0203086342,27.09,1,1,6.73E5,1,1,2,,77860,Thalassiosira_weissflogii_0203086342
77,95,Thalassiosira_weissflogii_0203420370,25.74,1,1,1.24E5,1,1,1,,80185,Thalassiosira_weissflogii_0203420370
82,250,Thalassiosira_weissflogii_0201773748,23.99,1,1,3.12E4,1,1,2,,74468,Thalassiosira_weissflogii_0201773748
85,388,Thalassiosira_weissflogii_0171354090,23.84,2,2,1.58E5,1,1,2,,67006,Thalassiosira_weissflogii_0171354090
85,507,Thalassiosira_weissflogii_0171384438,23.84,2,2,1.58E5,1,1,2,,66648,Thalassiosira_weissflogii_0171384438
85,381,Thalassiosira_weissflogii_0171415738,23.84,2,2,1.58E5,1,1,2,,68100,Thalassiosira_weissflogii_0171415738
85,502,Thalassiosira_weissflogii_0203167400,23.84,1,1,1.58E5,1,1,2,,74201,Thalassiosira_weissflogii_0203167400
85,376,Thalassiosira_weissflogii_0171446960,23.84,1,1,1.58E5,1,1,2,,79982,Thalassiosira_weissflogii_0171446960
85,503,Thalassiosira_weissflogii_0203628050,23.84,1,1,1.58E5,1,1,2,,80266,Thalassiosira_weissflogii_0203628050
152,344,Thalassiosira_weissflogii_0201806284,22.96,4,4,1.14E5,1,1,1,,22857,Thalassiosira_weissflogii_0201806284
217,258,Thalassiosira_weissflogii_0171360526,22.64,2,2,4.35E4,1,1,1,,51911,Thalassiosira_weissflogii_0171360526
156,7960,Thalassiosira_weissflogii_0203351526,21.30,0,0,1.52E5,1,1,1,,135743,Thalassiosira_weissflogii_0203351526
156,6326,Thalassiosira_weissflogii_0203105324,21.30,0,0,1.52E5,1,1,1,,136699,Thalassiosira_weissflogii_0203105324
156,6397,Thalassiosira_weissflogii_0203508940,21.30,0,0,1.52E5,1,1,1,,137194,Thalassiosira_weissflogii_0203508940
156,7961,Thalassiosira_weissflogii_0203416500,21.30,0,0,1.52E5,1,1,1,,137274,Thalassiosira_weissflogii_0203416500
156,7962,Thalassiosira_weissflogii_0201801894,21.30,0,0,1.52E5,1,1,1,,137839,Thalassiosira_weissflogii_0201801894
156,7963,Thalassiosira_weissflogii_0201770010,21.30,0,0,1.52E5,1,1,1,,137650,Thalassiosira_weissflogii_0201770010
156,10304,Thalassiosira_weissflogii_0203630180,21.30,0,0,1.52E5,1,1,1,,131795,Thalassiosira_weissflogii_0203630180
156,10309,Thalassiosira_weissflogii_0203169600,21.30,0,0,1.52E5,1,1,1,,133622,Thalassiosira_weissflogii_0203169600
156,171888,Thalassiosira_weissflogii_0203508212,21.30,1,1,1.52E5,1,1,1,,71649,Thalassiosira_weissflogii_0203508212
156,172710,Thalassiosira_weissflogii_0201773452,21.30,1,1,1.52E5,1,1,1,,118723,Thalassiosira_weissflogii_0201773452
156,28138,Thalassiosira_weissflogii_0203478708,21.30,1,1,1.52E5,1,1,1,,52581,Thalassiosira_weissflogii_0203478708
53,59891,Thalassiosira_weissflogii_0203107800,21.23,1,1,8.41E4,1,1,1,,80805,Thalassiosira_weissflogii_0203107800
261,20790,Thalassiosira_weissflogii_0203258570,21.16,7,7,8.7E4,1,1,1,,16419,Thalassiosira_weissflogii_0203258570
177,82155,Thalassiosira_weissflogii_0203416460,21.15,1,1,6.74E4,1,1,1,,114888,Thalassiosira_weissflogii_0203416460
177,82156,Thalassiosira_weissflogii_0203323278,21.15,1,1,6.74E4,1,1,1,,134732,Thalassiosira_weissflogii_0203323278
177,3025,Thalassiosira_weissflogii_0203352994,21.15,1,1,6.74E4,1,1,1,,136048,Thalassiosira_weissflogii_0203352994
177,3026,Thalassiosira_weissflogii_0203140146,21.15,1,1,6.74E4,1,1,1,,140480,Thalassiosira_weissflogii_0203140146
177,3036,Thalassiosira_weissflogii_0203445388,21.15,1,1,6.74E4,1,1,1,,144156,Thalassiosira_weissflogii_0203445388
177,61303,Thalassiosira_weissflogii_0171338396,21.15,1,1,6.74E4,1,1,1,,144077,Thalassiosira_weissflogii_0171338396
177,61306,Thalassiosira_weissflogii_0203507118,21.15,1,1,6.74E4,1,1,1,,145039,Thalassiosira_weissflogii_0203507118
233,59888,Thalassiosira_weissflogii_0203239104,21.10,4,4,2.56E4,1,1,1,,24430,Thalassiosira_weissflogii_0203239104
206,619,Thalassiosira_weissflogii_0201800228,20.95,3,3,2.67E5,1,1,1,Carbamidomethylation,29854,Thalassiosira_weissflogii_0201800228
206,620,Thalassiosira_weissflogii_0203350294,20.95,3,3,2.67E5,1,1,1,Carbamidomethylation,30901,Thalassiosira_weissflogii_0203350294
206,621,Thalassiosira_weissflogii_0203627548,20.95,3,3,2.67E5,1,1,1,Carbamidomethylation,33393,Thalassiosira_weissflogii_0203627548
206,556,Thalassiosira_weissflogii_0203505014,20.95,2,2,2.67E5,1,1,1,Carbamidomethylation,38156,Thalassiosira_weissflogii_0203505014
