TermID, Name, Eliminated, Frequency, PlotX, PlotY, LogSize, Uniqueness, Dispensability, Representative, Eliminated
GO:0008537,proteasome activator complex, True,0.007, null, null,3.102,0.654,0.709,502, True
GO:0008540,"proteasome regulatory particle, base subcomplex", True,0.035, null, null,3.826,0.622,0.813,502, True
GO:0031597,cytosolic proteasome complex, True,0.047, null, null,3.944,0.583,0.814,502, True
GO:0033290,eukaryotic 48S preinitiation complex, False,0.092,-3.552,4.232,4.241,0.592,0.518,-1, False
GO:0016282,eukaryotic 43S preinitiation complex, True,0.092, null, null,4.242,0.592,0.995,33290, True
GO:0005794,Golgi apparatus, False,1.491,2.161,4.448,5.45,0.644,0.537,-1, False
GO:0005783,endoplasmic reticulum, True,1.949, null, null,5.566,0.636,0.749,5794, True
GO:0030126,COPI vesicle coat, False,0.053,-0.727,5.004,4.005,0.52,0.595,-1, False
GO:0005967,mitochondrial pyruvate dehydrogenase complex, False,0.004,-2.272,6.646,2.864,0.579,0.603,-1, False
GO:0005654,nucleoplasm, False,1.456,2.946,7.483,5.44,0.662,0.603,-1, False
GO:0005730,nucleolus, True,0.854, null, null,5.208,0.634,0.816,5654, True
GO:0034098,VCP-NPL4-UFD1 AAA ATPase complex, False,0.005,-1.178,4.083,3.013,0.563,0.604,-1, False
GO:0031207,Sec62/Sec63 complex, False,0.006,-1.039,4.275,3.031,0.556,0.611,-1, False
GO:0015935,small ribosomal subunit, False,0.442,-1.127,6.24,4.921,0.518,0.616,-1, False
GO:0005762,mitochondrial large ribosomal subunit, True,0.054, null, null,4.009,0.494,0.701,15935, True
GO:0022627,cytosolic small ribosomal subunit, True,0.067, null, null,4.1,0.552,0.713,15935, True
GO:0015934,large ribosomal subunit, True,0.578, null, null,5.038,0.509,0.859,15935, True
GO:0022625,cytosolic large ribosomal subunit, True,0.122, null, null,4.364,0.534,0.887,15935, True
GO:0005840,ribosome, False,3.927,4.157,6.949,5.87,0.669,0.624,-1, False
GO:0000275,"mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)", False,0.014,-1.389,5.099,3.421,0.516,0.627,-1, False
GO:0000118,histone deacetylase complex, False,0.061,-1.749,6.764,4.059,0.554,0.63,-1, False
GO:0031595,nuclear proteasome complex, False,0.002,-2.673,7.605,2.662,0.607,0.664,-1, False
GO:0005634,nucleus, False,11.342,3.629,5.756,6.331,0.647,0.695,-1, False
GO:0005750,mitochondrial respiratory chain complex III, False,0.021,-1.934,5.582,3.606,0.485,0.696,-1, False
GO:0005753,mitochondrial proton-transporting ATP synthase complex, True,0.066, null, null,4.094,0.474,0.765,5750, True
